model;difficulty_score;difficulty_score_article;difficulty_score_article_capped_100
model_10000305;15,687275;2,377551;2,377551
model_10000306;45,096383;12,571429;12,571429
model_10000307;16,152387;4,591837;4,591837
model_10000308;27,873028;11,744898;11,744898
model_10000309;15,687275;2,377551;2,377551
model_10000310;26,416334;10,418367;10,418367
model_10000311;21,202475;4,540816;4,540816
model_10000312;37,999743;17,948980;17,948980
model_10000313;27,873028;11,744898;11,744898
model_10000314;16,152387;4,591837;4,591837
model_10000315;31,313803;11,214286;11,214286
model_10000316;32,127577;12,173469;12,173469
model_10000317;27,873028;11,744898;11,744898
model_10000318;22,910456;6,275510;6,275510
model_10000319;43,026875;10,693878;10,693878
model_10000320;29,886638;23,020408;23,020408
model_10000321;39,819037;9,132653;9,132653
model_10000322;27,873028;11,744898;11,744898
model_10000323;22,136163;11,428571;11,428571
model_10000324;15,687275;2,377551;2,377551
model_10000325;32,598454;19,663265;19,663265
model_10000326;22,136163;11,428571;11,428571
model_10000327;27,873028;11,744898;11,744898
model_10000328;25,282795;19,112245;19,112245
model_10000329;32,437201;10,959184;10,959184
model_10000330;35,753367;24,948980;24,948980
model_10000331;28,361118;19,051020;19,051020
model_10000332;15,687275;2,377551;2,377551
model_10000333;27,873028;11,744898;11,744898
model_10000334;28,361118;19,051020;19,051020
model_10000335;27,873028;11,744898;11,744898
model_10000336;36,880535;14,928571;14,928571
model_10000337;34,438760;9,530612;9,530612
model_10000338;43,711488;21,306122;21,306122
model_10000339;20,735331;8,367347;8,367347
model_10000340;15,687275;2,377551;2,377551
model_10000341;27,873028;11,744898;11,744898
model_10000342;36,450193;15,642857;15,642857
model_10000343;40,804704;13,612245;13,612245
model_10000344;36,238964;12,571429;12,571429
model_10000345;45,096383;12,571429;12,571429
model_10000346;22,136163;11,428571;11,428571
model_10000347;39,401774;11,591837;11,591837
model_10000348;22,910456;6,275510;6,275510
model_10000349;39,358800;23,326531;23,326531
model_10000350;15,687275;2,377551;2,377551
model_10000351;37,461534;12,826531;12,826531
model_10000352;27,873028;11,744898;11,744898
model_10000353;44,216660;16,081633;16,081633
model_10000354;28,361118;19,051020;19,051020
model_10000355;32,598454;19,663265;19,663265
model_10000356;25,600424;14,397959;14,397959
model_10000357;22,136163;11,428571;11,428571
model_10000358;20,888760;9,000000;9,000000
model_10000359;30,485077;23,734694;23,734694
model_10000360;34,875232;10,122449;10,122449
model_10000361;32,108707;16,530612;16,530612
model_10000362;21,202475;4,540816;4,540816
model_10000363;22,910456;6,275510;6,275510
model_10000364;22,136163;11,428571;11,428571
model_10000365;35,637333;14,755102;14,755102
model_10000366;40,679039;10,193878;10,193878
model_10000367;21,202475;4,540816;4,540816
model_10000368;37,461534;12,826531;12,826531
model_10000369;27,873028;11,744898;11,744898
model_10000370;49,056443;21,346939;21,346939
model_10000371;20,888760;9,000000;9,000000
model_10000372;20,922163;26,224490;26,224490
model_10000373;45,096383;12,571429;12,571429
model_10000374;15,687275;2,377551;2,377551
model_10000375;20,297251;8,285714;8,285714
model_10000376;22,136163;11,428571;11,428571
model_10000377;21,534036;14,765306;14,765306
model_10000378;27,873028;11,744898;11,744898
model_10000379;32,598454;19,663265;19,663265
model_10000380;45,096383;12,571429;12,571429
model_10000381;10,252928;3,785714;3,785714
model_10000382;16,152387;4,591837;4,591837
model_10000383;22,136163;11,428571;11,428571
model_10000384;34,966809;7,510204;7,510204
model_10000385;16,152387;4,591837;4,591837
model_10000386;40,467396;9,959184;9,959184
model_10000387;15,687275;2,377551;2,377551
model_10000388;22,586023;7,836735;7,836735
model_10000389;22,136163;11,428571;11,428571
model_10000390;27,059367;6,418367;6,418367
model_10000391;15,687275;2,377551;2,377551
model_10000392;22,136163;11,428571;11,428571
model_10000393;18,578480;3,214286;3,214286
model_10000394;27,269416;12,571429;12,571429
model_10000395;35,426448;8,285714;8,285714
model_10000396;26,006293;12,132653;12,132653
model_10000397;45,096383;12,571429;12,571429
model_10000398;45,096383;12,571429;12,571429
model_10000399;22,136163;11,428571;11,428571
model_100004;56,980786;58,071429;58,071429
model_10000400;22,136163;11,428571;11,428571
model_10000401;16,152387;4,591837;4,591837
model_10000403;22,136163;11,428571;11,428571
model_10000404;27,873028;11,744898;11,744898
model_10000405;29,886638;23,020408;23,020408
model_10000406;23,383913;10,061224;10,061224
model_10000407;15,687275;2,377551;2,377551
model_10000408;40,679039;10,193878;10,193878
model_10000409;31,838903;15,112245;15,112245
model_10000410;49,056443;21,346939;21,346939
model_10000411;26,716179;21,193878;21,193878
model_10000412;45,096383;12,571429;12,571429
model_10000413;46,576646;14,132653;14,132653
model_10000414;44,658872;26,295918;26,295918
model_10000415;60,808619;80,683673;80,683673
model_10000416;34,875232;10,122449;10,122449
model_10000417;34,966809;7,510204;7,510204
model_10000418;15,687275;2,377551;2,377551
model_10000419;40,646302;10,316327;10,316327
model_10000420;45,096383;12,571429;12,571429
model_10000421;46,902181;17,408163;17,408163
model_10000422;15,687275;2,377551;2,377551
model_10000423;27,873028;11,744898;11,744898
model_10000424;16,152387;4,591837;4,591837
model_10000425;15,687275;2,377551;2,377551
model_10000426;25,087291;7,112245;7,112245
model_10000427;45,096383;12,571429;12,571429
model_10000428;37,229121;15,775510;15,775510
model_10000429;49,297812;52,908163;52,908163
model_10000430;38,344834;22,734694;22,734694
model_10000431;28,361118;19,051020;19,051020
model_10000432;37,999743;17,948980;17,948980
model_10000433;32,108707;16,530612;16,530612
model_10000434;36,574222;33,622449;33,622449
model_10000435;27,873028;11,744898;11,744898
model_10000436;43,192315;11,989796;11,989796
model_10000437;25,795090;10,081633;10,081633
model_10000438;34,129137;24,132653;24,132653
model_10000439;32,127577;12,173469;12,173469
model_10000440;40,679039;10,193878;10,193878
model_10000441;15,687275;2,377551;2,377551
model_10000442;20,922163;26,224490;26,224490
model_10000443;45,096383;12,571429;12,571429
model_10000444;16,469339;4,948980;4,948980
model_10000445;15,687275;2,377551;2,377551
model_10000446;39,856122;11,224490;11,224490
model_10000447;25,910818;8,653061;8,653061
model_10000448;15,687275;2,377551;2,377551
model_10000449;10,227984;4,765306;4,765306
model_10000450;27,475498;7,530612;7,530612
model_10000451;22,136163;11,428571;11,428571
model_10000452;27,873028;11,744898;11,744898
model_10000453;16,152387;4,591837;4,591837
model_10000454;26,032494;12,938776;12,938776
model_10000455;15,687275;2,377551;2,377551
model_10000456;19,259953;3,479592;3,479592
model_10000457;28,361118;19,051020;19,051020
model_10000458;26,716179;21,193878;21,193878
model_10000459;20,922163;26,224490;26,224490
model_10000460;37,461534;12,826531;12,826531
model_10000461;26,716179;21,193878;21,193878
model_10000462;34,409334;12,591837;12,591837
model_10000463;15,687275;2,377551;2,377551
model_10000464;36,132005;13,755102;13,755102
model_10000465;22,136163;11,428571;11,428571
model_10000466;28,361118;19,051020;19,051020
model_10000467;45,096383;12,571429;12,571429
model_10000468;16,152387;4,591837;4,591837
model_10000469;16,152387;4,591837;4,591837
model_10000470;27,873028;11,744898;11,744898
model_10000471;39,401774;11,591837;11,591837
model_10000472;21,202475;4,540816;4,540816
model_10000473;32,598454;19,663265;19,663265
model_10000474;21,662199;11,193878;11,193878
model_10000475;21,202475;4,540816;4,540816
model_10000476;16,152387;4,591837;4,591837
model_10000477;15,687275;2,377551;2,377551
model_10000478;32,108707;16,530612;16,530612
model_10000479;30,893065;9,173469;9,173469
model_10000480;43,913635;18,163265;18,163265
model_10000481;22,548939;6,734694;6,734694
model_10000482;34,966809;7,510204;7,510204
model_10000483;15,430234;8,612245;8,612245
model_10000484;22,136163;11,428571;11,428571
model_10000485;22,136163;11,428571;11,428571
model_10000486;21,202475;4,540816;4,540816
model_10000487;37,461534;12,826531;12,826531
model_10000488;22,136163;11,428571;11,428571
model_10000489;18,709533;17,622449;17,622449
model_10000490;44,893381;12,336735;12,336735
model_10000491;46,627949;14,500000;14,500000
model_10000492;20,710524;7,959184;7,959184
model_10000493;45,096383;12,571429;12,571429
model_10000494;32,127577;12,173469;12,173469
model_10000495;45,096383;12,571429;12,571429
model_10000496;16,152387;4,591837;4,591837
model_10000497;39,856122;11,224490;11,224490
model_10000498;40,679039;10,193878;10,193878
model_10000499;14,333458;4,775510;4,775510
model_100005;6,289214;1,061224;1,061224
model_10000500;21,202475;4,540816;4,540816
model_10000501;45,096383;12,571429;12,571429
model_10000502;26,654702;10,979592;10,979592
model_10000503;37,999743;17,948980;17,948980
model_10000504;39,358800;23,326531;23,326531
model_10000505;20,888760;9,000000;9,000000
model_10000506;34,364390;22,551020;22,551020
model_10000507;53,353442;39,479592;39,479592
model_10000508;25,087291;7,112245;7,112245
model_10000509;45,096383;12,571429;12,571429
model_10000510;28,701726;6,469388;6,469388
model_10000511;16,152387;4,591837;4,591837
model_10000512;45,096383;12,571429;12,571429
model_10000513;22,136163;11,428571;11,428571
model_10000514;43,913635;18,163265;18,163265
